Unnamed: 0,Date,Team,Acquired,Relinquished,Notes
20230.0,2014-01-27,Thunder,, Andre Roberson,placed on IL
20231.0,2014-01-28,Cavaliers,, Anderson Varejao,placed on IL with bruised left knee
20232.0,2014-01-28,Celtics, Jerryd Bayless,,activated from IL
20233.0,2014-01-28,Knicks,, Amare Stoudemire / Amar'e Stoudemire,placed on IL with sprained left ankle
20234.0,2014-01-28,Knicks, Kenyon Martin Sr.,,activated from IL
20235.0,2014-01-29,Bulls, Kirk Hinrich,,activated from IL
20236.0,2014-01-29,Heat,, Roger Mason Jr.,placed on IL
20237.0,2014-01-29,Heat, Toney Douglas,,activated from IL
20238.0,2014-01-29,Kings, Rudy Gay,,activated from IL
20239.0,2014-01-29,Raptors,, DeMar DeRozan,placed on IL with sprained left ankle/foot
20240.0,2014-01-29,Raptors, Tyler Hansbrough,,activated from IL
20241.0,2014-01-29,Spurs,, Emanuel Ginobili / Manu Ginobili,placed on IL with strained left hamstring
20242.0,2014-01-29,Timberwolves,, Nikola Pekovic,placed on IL with bursitis in right ankle
20243.0,2014-01-29,Timberwolves, A.J. Price,,activated from IL
20244.0,2014-01-31,Celtics, Avery Bradley,,activated from IL
20245.0,2014-01-31,Jazz,, Derrick Favors,placed on IL with strained hip
20246.0,2014-01-31,Jazz,, Marvin Williams,placed on IL with sore right Achilles / heel
20247.0,2014-01-31,Jazz, Ian Clark,,activated from IL
20248.0,2014-01-31,Mavericks,, Shawn Marion,placed on IL with bruised right shoulder
20249.0,2014-01-31,Raptors,, Dwight Buycks,placed on IL
20250.0,2014-01-31,Raptors, DeMar DeRozan,,activated from IL
20251.0,2014-01-31,Mavericks, Ricky Ledo,,activated from IL
20252.0,2014-02-01,Bucks,, John Henson,placed on IL with sprained right wrist
20253.0,2014-02-01,Bucks, Zaur Pachulia / Zaza Pachulia,,activated from IL
20254.0,2014-02-01,Cavaliers,, Sergey Karasev,placed on IL
20255.0,2014-02-01,Grizzlies,, Mike Conley Jr.,placed on IL with sprained right ankle
20256.0,2014-02-01,Jazz,, Jeremy Evans,placed on IL with bruised tailbone
20257.0,2014-02-01,Jazz, Marvin Williams,,activated from IL
20258.0,2014-02-01,Kings,, Jimmer Fredette,placed on IL with illness
20259.0,2014-02-01,Knicks,, Iman Shumpert,placed on IL with sprained right shoulder
20260.0,2014-02-01,Knicks, Amare Stoudemire / Amar'e Stoudemire,,activated from IL
20261.0,2014-02-01,Pistons,, Tony Mitchell (LaShae),placed on IL
20262.0,2014-02-01,Pistons, Chauncey Billups,,activated from IL
20263.0,2014-02-01,Raptors,, Greivis Vasquez,placed on IL with illness
20264.0,2014-02-01,Raptors, Dwight Buycks,,activated from IL
20265.0,2014-02-01,Spurs, Tiago Splitter,,activated from IL
20266.0,2014-02-01,Suns, Archie Goodwin,,activated from IL
20267.0,2014-02-01,Cavaliers, Anderson Varejao,,activated from IL
20268.0,2014-02-01,Kings, DeMarcus Cousins,,activated from IL
20269.0,2014-02-03,Clippers,, Byron Mullens / B.J. Mullens,placed on IL
20270.0,2014-02-03,Kings, Jimmer Fredette,,activated from IL
20271.0,2014-02-03,Knicks,, Kenyon Martin Sr.,placed on IL with ankle injury (out for season)
20272.0,2014-02-03,Knicks, Iman Shumpert,,activated from IL
20273.0,2014-02-03,Mavericks,, Ricky Ledo,placed on IL
20274.0,2014-02-03,Raptors,, Austin Daye,placed on IL (P)
20275.0,2014-02-03,Raptors, Greivis Vasquez,,activated from IL
20276.0,2014-02-03,Spurs, Danny Green,,activated from IL
20277.0,2014-02-03,Thunder, Andre Roberson,,activated from IL
20278.0,2014-02-03,Wizards, Glen Rice Jr.,,activated from IL
20279.0,2014-02-04,Lakers,, Xavier Henry,placed on IL with bone bruise in right knee
20280.0,2014-02-04,Lakers, Steve Nash,,activated from IL
20281.0,2014-02-04,Warriors,, Ognjen Kuzmic / Ognen Kuzmic,placed on IL
20282.0,2014-02-04,Warriors, Jermaine O'Neal,,activated from IL
20283.0,2014-02-04,76ers, Arnett Moultrie,,activated from IL
20284.0,2014-02-05,Bucks,, Caron Butler,placed on IL with ankle injury
20285.0,2014-02-05,Bucks, John Henson,,activated from IL
20286.0,2014-02-05,Celtics,, Vitor Faverani,placed on IL with knee injury
20287.0,2014-02-05,Clippers,, J.J. Redick,placed on IL with back injury
